Idiom	Context	Meaning	Explanation	Language
labour of love	Katherine spends all of her free time knitting baby clothes for her friends. It must be a labor of love.	Work that is done for pleasure rather than money. 	Arbeit, die zum Vergnügen und nicht zum Geld gemacht wird.	German
dead and buried	Their father is dead and buried, but they still complain about him daily.	Completely gone or defunct. The phrase can be used to refer to one who has literally died and been buried, as well as to something unsuccessful.  	Completamente desaparecido o desaparecido. La frase puede usarse para referirse a alguien que literalmente murió y fue enterrado, así como a algo que no tuvo éxito.	Spanish
dead and buried	Their father is dead and buried, but they still complain about him daily.	Completely gone or defunct. The phrase can be used to refer to one who has literally died and been buried, as well as to something unsuccessful.  	Völlig verschwunden oder nicht mehr vorhanden. Der Ausdruck kann verwendet werden, um sich auf jemanden zu beziehen, der buchstäblich gestorben und begraben wurde, aber auch auf etwas, das nicht erfolgreich war.	German
as poor as a church mouse	My father was as poor as a church mouse growing up, so his sole focus was to give his kids every opportunity in life that he missed out on.	Very poor; having little or no money.  	Muy pobre; tener poco o ningún dinero.	Spanish
as poor as a church mouse	My father was as poor as a church mouse growing up, so his sole focus was to give his kids every opportunity in life that he missed out on.	Very poor; having little or no money.  	Sehr arm; wenig oder kein Geld haben.	German
the holy grail	the Holy Grail of infrared astronomy	See  grail.	Ver grial.	Spanish
the holy grail	the Holy Grail of infrared astronomy	See  grail.	Siehe Gral.	German
whiter than white	There's no way she stole the money. She's whiter than white—I don't think she's ever lied once in her whole life.	Absolutely pure and innocent. 	Absolutamente puro e inocente.	Spanish
whiter than white	There's no way she stole the money. She's whiter than white—I don't think she's ever lied once in her whole life.	Absolutely pure and innocent. 	Absolut rein und unschuldig.	German
magic touch	I asked Gary if he wanted to try starting the car, and sure enough he had the magic touch.	An ability to perform a particular task perfectly or with ease, especially when other cannot.  	Capacidad para realizar una tarea particular perfectamente o con facilidad, especialmente cuando otros no pueden.	Spanish
magic touch	I asked Gary if he wanted to try starting the car, and sure enough he had the magic touch.	An ability to perform a particular task perfectly or with ease, especially when other cannot.  	Die Fähigkeit, eine bestimmte Aufgabe perfekt oder mit Leichtigkeit auszuführen, insbesondere wenn andere dies nicht können.	German
weak at the knees	Hearing the news of my father's sudden death, I went weak at the knees and could barely remain standing.	Literally, in danger of collapsing because one's knees may buckle, due to faintness brought on by a strong emotion, exhaustion, etc. 	Literalmente, en peligro de desplomarse porque las rodillas pueden doblarse, por desmayo provocado por una emoción fuerte, agotamiento, etc.	Spanish
weak at the knees	Hearing the news of my father's sudden death, I went weak at the knees and could barely remain standing.	Literally, in danger of collapsing because one's knees may buckle, due to faintness brought on by a strong emotion, exhaustion, etc. 	Im wahrsten Sinne des Wortes besteht die Gefahr, zusammenzubrechen, weil die Knie nachgeben können, weil man aufgrund starker Emotionen, Erschöpfung usw. ohnmächtig wird.	German
a flash in the pan	With only one hit song, it was obvious that the young pop star was going to be just another flash in the pan.	Someone or something whose success or popularity is short-lived.  	Alguien o algo cuyo éxito o popularidad dura poco.	Spanish
a flash in the pan	With only one hit song, it was obvious that the young pop star was going to be just another flash in the pan.	Someone or something whose success or popularity is short-lived.  	Jemand oder etwas, dessen Erfolg oder Popularität nur von kurzer Dauer ist.	German
behind bars	I hear Mike's uncle is behind bars again. I wonder what he did this time!	In jail or prison.  	En la cárcel o prisión.	Spanish
behind bars	I hear Mike's uncle is behind bars again. I wonder what he did this time!	In jail or prison.  	Im Gefängnis oder Gefängnis.	German
flea market	I love our town's local flea market— you never know what you might find there!	A typically outdoor market or bazaar where sundry goods, antiques, household items, or trinkets are sold, bartered, or traded. Possibly from the French marché aux puces, a name given to an outdoor market in Paris where second-hand goods were sold. 	Un mercado o bazar típicamente al aire libre donde se venden, intercambian o intercambian productos diversos, antigüedades, artículos para el hogar o baratijas. Posiblemente del francés marché aux puces, nombre que se le daba a un mercado al aire libre en París donde se vendían artículos de segunda mano.	Spanish
flea market	I love our town's local flea market— you never know what you might find there!	A typically outdoor market or bazaar where sundry goods, antiques, household items, or trinkets are sold, bartered, or traded. Possibly from the French marché aux puces, a name given to an outdoor market in Paris where second-hand goods were sold. 	Ein typischer Markt oder Basar im Freien, auf dem verschiedene Waren, Antiquitäten, Haushaltsgegenstände oder Schmuckstücke verkauft, getauscht oder getauscht werden. Möglicherweise vom französischen marché aux puces, einem Namen für einen Freiluftmarkt in Paris, auf dem gebrauchte Waren verkauft wurden.	German
rags to riches	My uncle's is a true rags-to-riches story. He grew up without a penny, but through sheer determination, he founded his own company and is now one of the wealthiest men in the state.	Characterized by a rise from poverty to great or exceptional wealth. Hyphenated if used as a modifier before a noun.   	Caracterizado por un ascenso de la pobreza a una riqueza grande o excepcional. Con guión si se usa como modificador antes de un sustantivo.	Spanish
rags to riches	My uncle's is a true rags-to-riches story. He grew up without a penny, but through sheer determination, he founded his own company and is now one of the wealthiest men in the state.	Characterized by a rise from poverty to great or exceptional wealth. Hyphenated if used as a modifier before a noun.   	Gekennzeichnet durch einen Aufstieg aus der Armut zu großem oder außergewöhnlichem Reichtum. Wird mit Bindestrich versehen, wenn es als Modifikator vor einem Substantiv verwendet wird.	German
at sixes and sevens	After caring for three sick kids all week, I'm totally at sixes and sevens.	Frazzled or disorganized. The phrase likely originated from a dice game in which rolling a six or a seven was unfavorable.  	Agotado o desorganizado. La frase probablemente se originó en un juego de dados en el que sacar un seis o un siete era desfavorable.	Spanish
